type,magnitude,Detection_Rate,Avg_SNR,Avg_Anomaly_MAE
drift_end,0.1,98.0,0.9999999279546229,0.027675014436244965
drift_end,0.25,99.0,0.9999999122991187,0.02549844963941723
drift_end,0.5,99.0,0.9999999088799789,0.020852276869118214
drift_end,1.0,100.0,0.9999999158102856,0.02303398014046252
drift_end,2.0,100.0,0.9999999210070603,0.023563802991993725
drift_end,3.0,99.0,0.9999999063272415,0.020656976234167814
drift_end,5.0,99.0,0.9999999054494819,0.021137081393972038
freeze,0.0,100.0,1.0010449500724947,0.020172032327391207
spike,0.1,99.0,1.1646568279243632,0.02505109469871968
spike,0.25,100.0,1.5766809585243404,0.02430630350485444
spike,0.5,98.0,1.9920164723057374,0.034519412219524384
spike,1.0,100.0,3.6559711187589663,0.04906450903043151
spike,2.0,100.0,7.827448126845595,0.09905150316655636
spike,3.0,100.0,16.424912324069624,0.1670422200858593
spike,5.0,100.0,22.132007446281573,0.22921418488025666
